id,name,url,owner,stars,language,last_updated,gesture_input,priority
1,mediapipe,https://github.com/google-ai-edge/mediapipe,google-ai-edge,34109,C++,2026-03-13,false,Foundation
2,leapmidi,https://github.com/revmischa/leapmidi,revmischa,23,C++,2026-01-09,true,High
3,Air-Piano,https://github.com/Pramzie/Air-Piano,Pramzie,73,Python,2026-03-03,true,High
4,midiGesture,https://github.com/jo0707/midiGesture,jo0707,5,Python,2026-03-12,true,High
5,MadHand,https://github.com/itsmadson/MadHand,itsmadson,6,Python,2026-02-11,true,Medium
6,Gesture-Controlled-MIDI-Theremin,https://github.com/ezraamanoe/Gesture-Controlled-MIDI-Theremin,ezraamanoe,3,Python,2026-03-04,true,Medium
7,SynesthesIA,https://github.com/NathanKneT/SynesthesIA,NathanKneT,5,Python,2026-01-10,true,Medium
8,hand-gesture-midi,https://github.com/Shubhangam-Singh/hand-gesture-midi,Shubhangam-Singh,2,Python,2026-03-10,true,Low
9,MidiHands,https://github.com/kaleprabhat24/MidiHands,kaleprabhat24,3,Python,2026-01-10,true,Low
10,gesture,https://github.com/erikparr/gesture,erikparr,0,JavaScript,2025-10-04,false,Low
11,Leap-Motion-to-Ableton-Live,https://github.com/runwithscissor/Leap-Motion-to-Ableton-Live,runwithscissor,4,,2026-01-10,true,Low
12,GestureMidi,https://github.com/paigecaskey/GestureMidi,paigecaskey,0,Python,2025-12-19,true,Low
13,midi-mediapipe,https://github.com/ivan-telepop/midi-mediapipe,ivan-telepop,1,Python,2026-02-23,true,Low
14,mediamime,https://github.com/languel/mediamime,languel,0,JavaScript,2025-11-14,true,Low
15,Hands-To-Midi,https://github.com/youngpietro/Hands-To-Midi,youngpietro,0,Python,2025-05-22,true,High
16,Gesture-Midi,https://github.com/BaselJayyusi/Gesture-Midi,BaselJayyusi,0,Python,2025-10-01,true,Low
17,air-chords,https://github.com/Samiddha024/air-chords,Samiddha024,0,Python,2025-06-07,true,Low
18,dirigento-cinquecento,https://github.com/simonreitinger/dirigento-cinquecento,simonreitinger,12,Python,2026-01-12,true,High
19,solfege.ai,https://github.com/instrumentbible/solfege.ai,instrumentbible,16,JavaScript,2025-11-26,true,High
20,motion2midi,https://github.com/froehlicht/motion2midi,froehlicht,27,closed,2026-03-09,true,High
21,PianoHands.jl,https://github.com/JuliaMusic/PianoHands.jl,JuliaMusic,13,Julia,2026-01-13,false,Low
22,Hands-Free,https://github.com/carlosmbe/Hands-Free,carlosmbe,7,Swift,2025-03-21,true,Medium
23,MIDI2HANDS,https://github.com/bernatcs/MIDI2HANDS,bernatcs,3,Python,2025-11-13,false,Low
gl-1,hand-midi-controller,https://github.com/ejfox/hand-midi-controller,ejfox,3,Python,2026-03-11,true,High
gl-2,to7m_midi_handler,https://gitlab.com/to7m/to7m_midi_handler,to7m,0,Python,2021-07-16,false,Low
gl-3,salvagrid,https://gitlab.com/unlessgames/salvagrid,unlessgames,1,JavaScript,2020-06-18,true,Medium
24,Handmate-MIDI,https://github.com/monlim/Handmate-MIDI,monlim,58,JavaScript,2025-12-04,true,High
24b,Handmate-MIDI-Offline,https://github.com/monlim/Handmate-MIDI-Offline,monlim,9,JavaScript,2025-12-04,true,Low
25,leap-osc-to-midi,https://github.com/heaversm/leap-osc-to-midi,heaversm,17,,2026-03-08,true,Medium
26,HandPiano,https://github.com/aliabbasnagari/HandPiano,aliabbasnagari,3,Python,2025-08-24,true,Low
27,facewave,https://github.com/johnowhitaker/facewave,johnowhitaker,3,JavaScript,2025-12-17,true,High
28,MIDIDance,https://github.com/olavolav/MIDIDance,olavolav,2,Processing,2013-11-05,true,Low
29,handi,https://github.com/akx/handi,akx,2,Python,2024-10-19,true,High
30,midiapipe-hand,https://github.com/Wendell00/midiapipe-hand,Wendell00,0,JavaScript,2023-12-02,true,Low
31,Handmate-VocalLooper,https://github.com/cherrysalice32-arch/Handmate-VocalLooper,cherrysalice32-arch,0,HTML,2026-03-13,true,Low
32,Orchesture,https://github.com/yewon-yun/Orchesture,yewon-yun,0,Python,2026-03-10,true,Medium
33,ether,https://github.com/JonathanSContreras/ether,JonathanSContreras,0,JavaScript,2026-03-09,true,High
34,xpadlab,https://github.com/Orjikeyz/xpadlab,Orjikeyz,0,HTML,2026-03-01,false,Low
35,cntrl,https://github.com/cryst4lpepsi/cntrl,cryst4lpepsi,0,Python,2026-02-18,true,High
36,cam-fader,https://github.com/DiesIrae2807/cam-fader,DiesIrae2807,0,Python,2025-12-06,true,Low
37,midi-event-handler,https://github.com/Lanceliogs/midi-event-handler,Lanceliogs,0,Python,2025-11-30,false,Low
38,Pynch-Synth,https://github.com/BornToDieee1029/Pynch-Synth,BornToDieee1029,1,Python,2025-11-22,true,Medium
39,hand-gesture-midi,https://github.com/gyfooya/hand-gesture-midi,gyfooya,0,JavaScript,2025-11-09,true,Low
40,midi-controller,https://github.com/amelie-schepping/midi-controller,amelie-schepping,0,Python,2025-10-08,true,Low
